Renewable2021	Electricity2021	GeoAreaCode	GeoAreaName	id	Continent	GDP
35.95	98.3	882	Samoa	WSM	Oceania	3918.659715
-100	100	674	San Marino	SMR	Europe	54982.83285
40.75	78.5	678	Sao Tome and Principe	STP	Africa	2368.080929
0.08	100	682	Saudi Arabia	SAU	Asia	24160.67605
35.42	68	686	Senegal	SEN	Africa	1633.560119
27.2	100	688	Serbia	SRB	Europe	8645.199101
1.72	100	690	Seychelles	SYC	Africa	14069.59059
71.14	27.5	694	Sierra Leone	SLE	Africa	504.6212381
1.1	100	702	Singapore	SGP	Asia	71333.5409
0.05	100	534	Sint Maarten (Dutch part)	SXM	North America	31439.00984
17.9	100	703	Slovakia	SVK	Europe	21766.65021
23.39	100	705	Slovenia	SVN	Europe	29174.25205
49.13	76.3	90	Solomon Islands	SLB	Oceania	2232.507657
95.37	49.3	706	Somalia	SOM	Africa	576.5405819
9.7	89.3	710	South Africa	ZAF	Africa	7073.612652
32.39	7.7	728	South Sudan	SSD	Africa	399.3178891
18.96	100	724	Spain	ESP	Europe	30443.14512
48.8	100	144	Sri Lanka	LKA	Asia	4102.362904
15.4	100	275	State of Palestine	PSE	Asia	3527.686956
60.98	61.8	729	Sudan	SDN	Africa	770.8125743
14.49	98.8	740	Suriname	SUR	South America	5429.647233
57.9	100	752	Sweden	SWE	Europe	61116.75052
27.69	100	756	Switzerland	CHE	Europe	93587.71035
1.14	88.8	760	Syrian Arab Republic	SYR	Asia	556.022373
34.89	99.6	762	Tajikistan	TJK	Asia	916.6919671
18.97	100	764	Thailand	THA	Asia	7060.898046
12.14	100	626	Timor-Leste	TLS	Asia	2741.950829
75.13	55.7	768	Togo	TGO	Africa	959.3814878
1.77	100	776	Tonga	TON	Oceania	4450.531493
0.46	100	780	Trinidad and Tobago	TTO	North America	16056.23066
11.58	99.9	788	Tunisia	TUN	Africa	3807.184654
12.02	100	792	Türkiye	TUR	Asia	9671.027527
0.06	100	795	Turkmenistan	TKM	Asia	8803.809216
0.76	100	796	Turks and Caicos Islands	TCA	North America	23158.6379
5.04	99.7	798	Tuvalu	TUV	Oceania	5370.419271
90.95	45.2	800	Uganda	UGA	Africa	929.6840928
8.87	100	804	Ukraine	UKR	Europe	4589.003703
1.01	100	784	United Arab Emirates	ARE	Asia	44332.34005
12.15	100	826	United Kingdom of Great Britain and Northern Ireland	GBR	Europe	46692.29553
78.31	42.7	834	United Republic of Tanzania	TZA	Africa	1151.183257
10.9	100	840	United States of America	USA	North America	70012.36305
5.9	100	850	United States Virgin Islands	VIR	North America	-100
57.8	100	858	Uruguay	URY	South America	17923.42948
1	99.9	860	Uzbekistan	UZB	Asia	2042.18461
24.64	70	548	Vanuatu	VUT	Oceania	3044.57364
33.69	100	862	Venezuela (Bolivarian Republic of)	VEN	South America	3966.630727
24.23	100	704	Viet Nam	VNM	Asia	3756.488901
3.67	74.9	887	Yemen	YEM	Asia	271.9941067
83.04	46.7	894	Zambia	ZMB	Africa	1135.078255
82.38	49	716	Zimbabwe	ZWE	Africa	1507.99479
23.99	-100	412	Kosovo	OSA	Europe	5663.086498
19.48	100	807	North Macedonia	MKD	Europe	6656.242593
4.41	-100	238	Falkland Islands	FLK	South America	-100
58.17	71.1	384	Côte d'Ivoire	CIV	Africa	2613.378893
